Date,Nasdaq_Close,Shares_Bought,Cumulative_Shares,Cumulative_Principal,Portfolio_Value,Cumulative_Return,Peak_Value,Drawdown,Daily_Strategy_Return
2022-04-14,13351.08,0.0074825407382773535,205.5148476225453,596400.0,2743845.1717964117,3.600679362502367,3288866.8253253014,-0.1657171550188815,-0.021438642948431626
2022-04-18,13332.36,0.0074930469924304475,205.52234066953773,596500.0,2740097.8338489183,3.5936258740132745,3288866.8253253014,-0.16685655595741686,-0.0014021191046520204
2022-04-19,13619.66,0.007334984867463652,205.5296756544052,596600.0,2799244.302323276,3.6919951430158835,3288866.8253253014,-0.1488727117899025,0.021548250182878367
2022-04-20,13453.07,0.007425814330855337,205.53710146873604,596700.0,2765105.0136560085,3.633995330410606,3288866.8253253014,-0.15925297054783835,-0.01223118165166437
2022-04-21,13174.65,0.007582744133620248,205.54468421286967,596800.0,2707979.273865083,3.537498783285997,3288866.8253253014,-0.17662239984519976,-0.020694935640690318
2022-04-22,12839.29,0.00778080407873021,205.5524650169484,596900.0,2639147.7085674554,3.421423535881145,3288866.8253253014,-0.19755105672105844,-0.025454042635630024
2022-04-25,13004.85,0.007681749501147649,205.56014676644955,597000.0,2673278.8746756613,3.4778540614332685,3288866.8253253014,-0.1871732676767027,0.012894267558795202
2022-04-26,12490.74,0.007997924862738317,205.56814469131228,597100.0,2567698.247621562,3.3002817746132336,3288866.8253253014,-0.2192757007217551,-0.03953073320627657
2022-04-27,12488.93,0.007999083988780464,205.57614377530106,597200.0,2567426.0692796707,3.2991059432010563,3288866.8253253014,-0.2193584582052127,-0.00014494064797960016
2022-04-28,12871.53,0.007761315088416062,205.58390509038946,597300.0,2646179.401888101,3.430235060920979,3288866.8253253014,-0.19541302751704834,0.030633898346549865
2022-04-29,12334.64,0.008099141928747009,205.5920042323182,597400.0,2535903.3590841214,3.2449001658589243,3288866.8253253014,-0.22894313033386643,-0.04170989757363753
2022-05-02,12536.02,0.00796903642463876,205.59997326874284,597500.0,2577405.3768964256,3.3136491663538505,3288866.8253253014,-0.2163241889122419,0.01632569517859651
2022-05-03,12563.76,0.007951441288276758,205.6079247100311,597600.0,2583208.6201549005,3.3226382532712524,3288866.8253253014,-0.21455967743558735,0.0022126988791550594
2022-05-04,12964.86,0.0077054437919113665,205.61563015382302,597700.0,2665777.8587560942,3.4600599945726858,3288866.8253253014,-0.18945399727688197,0.03192388162907486
2022-05-05,12317.69,0.00811028691256234,205.6237404407356,597800.0,2532809.4913894446,3.236884395097766,3288866.8253253014,-0.2298838396599033,-0.049915402886739804
2022-05-06,12144.66,0.008225837528592813,205.63196627826417,597900.0,2497330.3155809836,3.1768361190516536,3288866.8253253014,-0.240671499268149,-0.01404676161126615
2022-05-09,11623.25,0.008594842234314844,205.6405611204985,598000.0,2390211.652043834,2.9970094515783177,3288866.8253253014,-0.2732415816783891,-0.04293159367379876
2022-05-10,11737.67,0.008511058838764423,205.64907217933725,598100.0,2413840.9450472416,3.035848428435448,3288866.8253253014,-0.2660569511480633,0.009843608879741297
2022-05-11,11364.24,0.008790733036261114,205.6578629123735,598200.0,2337145.3120233114,2.906963075933319,3288866.8253253014,-0.2893767257383112,-0.03181338515405452
2022-05-12,11370.96,0.008785537896536442,205.66664845027003,598300.0,2338627.2328620823,2.908786951131677,3288866.8253253014,-0.28892613867672523,0.0005912605029784478
2022-05-13,11805.0,0.008462515883100381,205.67511096615314,598400.0,2427994.6849554377,3.057477748922857,3288866.8253253014,-0.2617534202786441,0.03816924472381152
2022-05-16,11662.79,0.008565703403731011,205.68367666955686,598500.0,2398845.5274249413,3.0080961193399185,3288866.8253253014,-0.2706163992554877,-0.012046135478869584
2022-05-17,11984.52,0.008335753121526769,205.69201242267837,598600.0,2465120.0367198377,3.1181423934511154,3288866.8253253014,-0.2504652308394965,0.02758483197654302
2022-05-18,11418.15,0.008749228202467126,205.70076165088085,598700.0,2348722.151644005,2.923036832543853,3288866.8253253014,-0.28585671710447164,-0.04725658697421671
2022-05-19,11388.5,0.008772006849014358,205.70953365772988,598800.0,2342723.024061057,2.9123630996343635,3288866.8253253014,-0.28768078840366595,-0.0025966749243569774
2022-05-20,11354.62,0.008798180828596642,205.71833183855847,598900.0,2335853.485060733,2.900239580999721,3288866.8253253014,-0.28976951359844316,-0.0029748465542407693
2022-05-23,11535.27,0.008660395465385726,205.72699223402387,599000.0,2373116.4017073684,2.9617969978420176,3288866.8253253014,-0.2784394967185563,0.01590909959650563
2022-05-24,11264.45,0.008868608764742176,205.7358608427886,599100.0,2317501.31767055,2.8683046530972294,3288866.8253253014,-0.2953496019282184,-0.023476613425027323
2022-05-25,11434.74,0.00873653445552763,205.74459737724413,599200.0,2352635.9774134685,2.9262950223856286,3288866.8253253014,-0.2846666945291196,0.01511677589920086
2022-05-26,11740.65,0.008508898570351727,205.75310627581447,599300.0,2415675.207197141,3.0308279779695324,3288866.8253253014,-0.2654992325637245,0.026751505646148185
2022-05-27,12131.13,0.008235011907382083,205.76134128772185,599400.0,2496117.580135721,3.164360327220088,3288866.8253253014,-0.2410402388704717,0.03325738781457057
2022-05-31,12081.39,0.008268916076709718,205.76961020379855,599500.0,2485982.91102007,3.1467604854379814,3288866.8253253014,-0.24412174677392673,-0.004100070922140717
2022-06-01,11994.46,0.008328845150177667,205.77793904894872,599600.0,2468195.2588050533,3.1164030333639983,3288866.8253253014,-0.2495301908246393,-0.007195114907763482
2022-06-02,12316.9,0.008110807102436491,205.78604985605116,599700.0,2534646.1974719963,3.2265235909154515,3288866.8253253014,-0.22932537798294864,0.026881281090765735
2022-06-03,12012.73,0.008316177921255203,205.7943660339724,599800.0,2472152.154687281,3.1216274669677913,3288866.8253253014,-0.24832707251903974,-0.024694402479878502
2022-06-06,12061.37,0.008282641192501349,205.8026486751649,599900.0,2482261.8926511738,3.1377927865497144,3288866.8253253014,-0.24525314508420282,0.0040488337506004385
2022-06-07,12175.23,0.008205183803509257,205.81085385896841,600000.0,2505794.482229328,3.1763241370488795,3288866.8253253014,-0.23809791781961862,0.009439634747666835
2022-06-08,12086.27,0.008265577386571705,205.81911943635498,600100.0,2487585.4486700343,3.1452848669722284,3288866.8253253014,-0.24363448543588032,-0.00730638647761623
2022-06-09,11754.23,0.008499067995096234,205.82761850435008,600200.0,2419345.1682523866,3.0308983143158725,3288866.8253253014,-0.26438335854079786,-0.027471431508426333
2022-06-10,11340.02,0.008809508272472183,205.83642801262255,600300.0,2334189.2103917003,2.8883711650702986,3288866.8253253014,-0.29027554645335146,-0.03523781360264032
2022-06-13,10809.23,0.009242101426281058,205.84567011404883,600400.0,2225033.19276688,2.705918042583078,3288866.8253253014,-0.3234650987892152,-0.046804833410718054
2022-06-14,10828.35,0.009225782321406308,205.85489589637024,600500.0,2229068.861979461,2.7120214187834484,3288866.8253253014,-0.3222380289724915,0.0017687342157198162
2022-06-15,11099.15,0.00900068924196898,205.8638965856122,600600.0,2284914.2677881974,2.804386060253409,3288866.8253253014,-0.3052578930245384,0.02500726022129866
2022-06-16,10646.1,0.009383717981232564,205.87328030359342,600700.0,2191747.529440086,2.648655783985493,3288866.8253253014,-0.3335858075605416,-0.0408166984613142
2022-06-17,10798.35,0.009251413410382141,205.8825317170038,600800.0,2223191.6363663077,2.700385546548448,3288866.8253253014,-0.32402503523492104,0.014300313550655057
2022-06-21,11069.3,0.00902496092797196,205.89155667793176,600900.0,2279075.40833503,2.7927698591030623,3288866.8253253014,-0.3070332338222278,0.02509062286578559
2022-06-22,11053.08,0.009038204735693582,205.90059488266746,601000.0,2275835.747285714,2.786748331590206,3288866.8253253014,-0.30801827250618113,-0.0014652935606021835
2022-06-23,11232.19,0.008894080317373548,205.90948896298482,601100.0,2312814.5028351485,2.8476368371903984,3288866.8253253014,-0.29677465653952456,0.016203777102853742
2022-06-24,11607.62,0.008606415440891415,205.9180953784257,601200.0,2390219.002276522,2.9757468434406555,3288866.8253253014,-0.2732393467953492,0.033422981846762824
2022-06-27,11524.55,0.00866845126273911,205.92676382968844,601300.0,2373213.2860934357,2.9468040680083747,3288866.8253253014,-0.2784100384305766,-0.007156248252553335
2022-06-28,11181.54,0.008934368611121546,205.93569819829955,601400.0,2302678.2468322143,2.828863064237137,3288866.8253253014,-0.2998566469457283,-0.02976220614240499
2022-06-29,11177.89,0.008937286017307382,205.94463548431685,601500.0,2302026.4815337905,2.827142945193334,3288866.8253253014,-0.30005482015645396,-0.00032646013547243583
2022-06-30,11028.74,0.00905815170182632,205.95369363601867,601600.0,2271409.7391513046,2.775614593004163,3288866.8253253014,-0.3093640272507417,-0.013342769230481583
2022-07-01,11127.85,0.008977475433259795,205.96267111145193,601700.0,2291921.7097275704,2.8090771310080944,3288866.8253253014,-0.3031272376007877,0.008986081029919895
2022-07-05,11322.24,0.008823342377480075,205.9714944538294,601800.0,2332058.693364925,2.875139071726363,3288866.8253253014,-0.290923343138328,0.01746797749228719
2022-07-06,11361.85,0.008792582193920885,205.98028703602333,601900.0,2340317.1242602416,2.8882158568869274,3288866.8253253014,-0.2884123168992222,0.0034982314533429657
2022-07-07,11621.35,0.00859624742392235,205.98888328344725,602000.0,2393868.90874609,2.976526426488521,3288866.8253253014,-0.272129570491407,0.022838571779269123
2022-07-08,11635.31,0.008585933679463633,205.9974692171267,602100.0,2396844.4135567266,2.9808078617451033,3288866.8253253014,-0.2712248501215445,0.0012011454284688232
2022-07-11,11372.6,0.008784270967061183,206.00625348809376,602200.0,2342826.718418695,2.8904462278623297,3288866.8253253014,-0.2876492595023314,-0.022577784796322668
2022-07-12,11264.73,0.008868388323555026,206.0151218764173,602300.0,2320704.7238549343,2.853071100539489,3288866.8253253014,-0.29437558675687825,-0.009484716013123505
2022-07-13,11247.58,0.008881910597657453,206.02400378701498,602400.0,2317271.464514754,2.846732178809352,3288866.8253253014,-0.2954194901809219,-0.0015224285369049438
2022-07-14,11251.19,0.008879060792680596,206.03288284780766,602500.0,2318115.111168425,2.8474939604455187,3288866.8253253014,-0.29516297427484295,0.00032090092808103135
2022-07-15,11452.42,0.008723047181294434,206.04160589498895,602600.0,2359675.0081838896,2.9158231134813963,3288866.8253253014,-0.28252643432879215,0.017884404607546495
2022-07-18,11360.05,0.008793975378629497,206.05039987036758,602700.0,2340742.845047369,2.883761149904379,3288866.8253253014,-0.2882828738996306,-0.008065244809575213
2022-07-19,11713.15,0.008528875665384633,206.05892874603296,602800.0,2413599.141241596,3.003979995424015,3288866.8253253014,-0.2661304730686785,0.03108123911357862
2022-07-20,11897.65,0.00839661613848113,206.06732536217143,602900.0,2451716.9135952387,3.06653991307885,3288866.8253253014,-0.25454053210174005,0.015750833110909773
2022-07-21,12059.61,0.008283849975247956,206.07560921214667,603000.0,2485191.4776108963,3.1213789015106075,3288866.8253253014,-0.24436238692483805,0.013612176272460173
2022-07-22,11834.11,0.008441699460288945,206.08405091160697,603100.0,2438821.327733557,3.043809198695999,3288866.8253253014,-0.25846151356635316,-0.018698068333622888
2022-07-25,11782.67,0.008478553672469823,206.09252946527943,603200.0,2428320.264154664,3.02572988089301,3288866.8253253014,-0.26165442593909866,-0.004346619736498346
2022-07-26,11562.57,0.008639947693289641,206.10116941297272,603300.0,2383059.198419356,2.9500401100934126,3288866.8253253014,-0.27541632878867095,-0.0186792485653624
2022-07-27,12032.42,0.00830256922547584,206.1094719821982,603400.0,2479995.732868041,3.110036017348427,3288866.8253253014,-0.24594218477583238,0.040633682597835896
2022-07-28,12162.59,0.008213711059897605,206.1176856932581,603500.0,2506924.902835964,3.1539766409875134,3288866.8253253014,-0.237754206545592,0.010817796108579015
2022-07-29,12390.69,0.008062504993668633,206.12574819825176,603600.0,2554040.246942596,3.2313456708790524,3288866.8253253014,-0.22342849905758155,0.01875344120173985
2022-08-01,12368.98,0.008076656280469368,206.13382485453224,603700.0,2549665.156949212,3.2233976427848465,3288866.8253253014,-0.22475877183107748,-0.001752092508914127
2022-08-02,12348.76,0.008089881089275362,206.1419147356215,603800.0,2545597.0310106534,3.2159606343336424,3288866.8253253014,-0.22599571031312018,-0.0016347097406984878
2022-08-03,12668.16,0.007885912397696272,206.14980064801918,603900.0,2611538.6585772107,3.324455470404389,3288866.8253253014,-0.20594575661515155,0.025863889836261447
2022-08-04,12720.58,0.007853415488916386,206.1576540635081,604000.0,2622444.93112718,3.341796243588046,3288866.8253253014,-0.20262963798548025,0.004137736479921871
2022-08-05,12657.55,0.007892522644587618,206.1655465861527,604100.0,2609550.714191557,3.319733014718684,3288866.8253253014,-0.2065502032197833,-0.00495481193911824
2022-08-08,12644.46,0.007900693268039917,206.1734472794207,604200.0,2606951.907186744,3.3147168275186094,3288866.8253253014,-0.20734038632625676,-0.0010341640703626376
2022-08-09,12493.93,0.007995882800688015,206.1814431622214,604300.0,2576016.518167773,3.26281072011877,3288866.8253253014,-0.2167464798721428,-0.011904400113176547
2022-08-10,12854.8,0.00777141612471606,206.1892145783461,604400.0,2650521.1155617232,3.385375770287431,3288866.8253253014,-0.19409290301696525,0.028882465862557213
2022-08-11,12779.91,0.007816956457439841,206.19703153480356,604500.0,2635179.5052819513,3.3592713073315985,3288866.8253253014,-0.19875761311152937,-0.005825657310701517
2022-08-12,13047.19,0.007656821123935499,206.2046883559275,604600.0,2690391.747870574,3.4498705720651235,3288866.8253253014,-0.18196999429903415,0.02091324372923622
2022-08-15,13128.05,0.007609660231336719,206.21229801615883,604700.0,2707165.3589710337,3.4768734231371483,3288866.8253253014,-0.17686987562858575,0.006197235547611879
2022-08-16,13102.55,0.007624470045907095,206.21992248620472,604800.0,2702006.8453716217,3.4676039109980517,3288866.8253253014,-0.17843835312353623,-0.0019423709545083841
2022-08-17,12938.12,0.0077213691015387085,206.22764385530627,604900.0,2668198.003517215,3.4109737204781205,3288866.8253253014,-0.18871813751433852,-0.012549038137588163
2022-08-18,12965.34,0.007705158522645762,206.2353490138289,605000.0,2673911.4199829567,3.4196882974924905,3288866.8253253014,-0.1869809384214028,0.0021037442063601072
2022-08-19,12705.22,0.007862909890580408,206.24321192371949,605100.0,2620365.380997479,3.3304666683151196,3288866.8253253014,-0.20326193787481833,-0.020062008181632854
2022-08-22,12381.57,0.008068443662637292,206.25128036738212,605200.0,2553714.665458367,3.21962105991138,3288866.8253253014,-0.22352749409189604,-0.02547284769459657
2022-08-23,12381.3,0.008068619611833977,206.25934898699396,605300.0,2553758.877612668,3.2189969892824517,3288866.8253253014,-0.22351405111696,-2.184490771929356e-05
