轮次,方案标签,A_LO,A_HI,B_HI,B_MULT,C_MULT,与仓库基准买入一致,成交笔数,收益合计_pct,固定份额0p5_合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值,份额合计,加权收益合计_pts,加权收益率合计_pct,加权笔均_pct,加权胜率_pct,夏普_笔收益_加权,波动率_笔收益标准差_pct_加权,最大回撤_链式净值_pct_加权,盈亏比_均盈除以均亏绝对值_加权,盈亏比_总盈利除以总亏损绝对值_加权
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.06,0.04,0.07,0.97,0.96,False,156,307.3651,153.6825,1.9703,0.2745,54.4872,7.1784,30.4393,1.5823,1.9779,55.15,128.0372,256.0743,2.3216,56.1197,0.3253,2.701,10.5195,1.8103,2.2629
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.05,0.04,0.07,0.97,0.96,False,156,307.3651,153.6825,1.9703,0.2745,54.4872,7.1784,30.4393,1.5823,1.9779,55.15,128.0372,256.0743,2.3216,56.1197,0.3253,2.701,10.5195,1.8103,2.2629
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.04,0.04,0.07,0.97,0.96,False,156,307.3651,153.6825,1.9703,0.2745,54.4872,7.1784,30.4393,1.5823,1.9779,55.15,128.0372,256.0743,2.3216,56.1197,0.3253,2.701,10.5195,1.8103,2.2629
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=8.0%·B×=0.98·C×=0.96,-0.06,0.04,0.08,0.98,0.96,False,159,306.1008,153.0504,1.9252,0.267,53.4591,7.2102,31.1491,1.6108,1.9284,56.0,128.0415,256.083,2.2865,55.2679,0.3189,2.7019,11.1418,1.8475,2.2118
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=8.0%·B×=0.98·C×=0.96,-0.05,0.04,0.08,0.98,0.96,False,159,306.1008,153.0504,1.9252,0.267,53.4591,7.2102,31.1491,1.6108,1.9284,56.0,128.0415,256.083,2.2865,55.2679,0.3189,2.7019,11.1418,1.8475,2.2118
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=8.0%·B×=0.98·C×=0.96,-0.04,0.04,0.08,0.98,0.96,False,159,306.1008,153.0504,1.9252,0.267,53.4591,7.2102,31.1491,1.6108,1.9284,56.0,128.0415,256.083,2.2865,55.2679,0.3189,2.7019,11.1418,1.8475,2.2118
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.95,-0.06,0.04,0.07,0.98,0.95,False,156,304.7944,152.3972,1.9538,0.2739,53.8462,7.1338,25.784,1.6143,1.9652,55.4,128.2442,256.4884,2.3149,55.5957,0.325,2.7099,11.1418,1.8473,2.2488
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.95,-0.05,0.04,0.07,0.98,0.95,False,156,304.7944,152.3972,1.9538,0.2739,53.8462,7.1338,25.784,1.6143,1.9652,55.4,128.2442,256.4884,2.3149,55.5957,0.325,2.7099,11.1418,1.8473,2.2488
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.95,-0.04,0.04,0.07,0.98,0.95,False,156,304.7944,152.3972,1.9538,0.2739,53.8462,7.1338,25.784,1.6143,1.9652,55.4,128.2442,256.4884,2.3149,55.5957,0.325,2.7099,11.1418,1.8473,2.2488
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.06,0.02,0.07,0.98,0.96,False,148,304.5294,152.2647,2.0576,0.2905,55.4054,7.0842,26.3971,1.5725,2.0468,52.15,126.8793,253.7587,2.433,57.1429,0.3456,2.6733,11.7209,1.8237,2.3737
