策略,样本,胜率,盈亏比,单笔平均收益,总收益_线性,净值_顺序复利,未成交数
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.462366,1.955376,0.015766,1.466238,3.204890,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.483871,1.848470,0.015737,1.463554,3.229164,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.483871,1.862564,0.015663,1.456639,3.230622,0
扩展网格_止损-7|止盈9|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.494624,1.785579,0.015655,1.455929,3.219978,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D5|转弱阈值0(可成交),93,0.483871,1.861616,0.015644,1.454905,3.225454,0
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.483871,1.834922,0.015604,1.451180,3.225154,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.516129,1.639829,0.015599,1.450701,3.215994,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.483871,1.782183,0.015587,1.449573,3.171078,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.516129,1.638989,0.015580,1.448967,3.210850,0
扩展网格_止损-7|止盈6|强势阈值0.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.473118,1.866548,0.015570,1.448053,3.165632,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.483871,1.786761,0.015550,1.446128,3.145594,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.516129,1.615255,0.015540,1.445241,3.210550,0
扩展网格_止损-7|止盈12|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.505376,1.697824,0.015528,1.444070,3.080748,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.483871,1.801988,0.015478,1.439473,3.129474,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.483871,1.798565,0.015475,1.439213,3.147014,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.505376,1.653116,0.015475,1.439180,3.134316,0
扩展网格_止损-7|止盈12|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.569892,1.303135,0.015470,1.438735,3.159763,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D5|转弱阈值0(可成交),93,0.483871,1.797684,0.015457,1.437479,3.141980,0
扩展网格_止损-7|止盈6|强势阈值0.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.462366,1.925448,0.015453,1.437141,3.121116,0
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.483871,1.813553,0.015445,1.436370,3.168710,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.516129,1.632587,0.015438,1.435743,3.155476,0
扩展网格_止损-7|止盈10|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.494624,1.774397,0.015426,1.434615,3.137194,0
扩展网格_止损-7|止盈7|强势阈值0.5|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.462366,1.957436,0.015409,1.433071,3.121751,0
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.462366,1.935283,0.015366,1.429066,3.092244,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.473118,1.905457,0.015302,1.423126,3.118265,0
扩展网格_止损-7|止盈12|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.559140,1.340460,0.015301,1.423022,3.100718,0
扩展网格_止损-7|止盈12|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.494624,1.742866,0.015290,1.421983,3.005663,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.516129,1.578169,0.015280,1.420995,3.095923,0
扩展网格_止损-5|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.473118,1.841990,0.015262,1.419410,3.065172,0
扩展网格_止损-7|止盈9|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.494624,1.766077,0.015255,1.418757,3.106802,0
扩展网格_止损-7|止盈12|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.559140,1.339690,0.015255,1.418700,3.088991,0
