code,open_date
000657.SZ,20260417
605060.SH,20260417
600330.SH,20260420
002957.SZ,20260420
603629.SH,20260420
600118.SH,20260421
002324.SZ,20260421
002149.SZ,20260421
000539.SZ,20260422
600699.SH,20260422
000751.SZ,20260423
605376.SH,20260423
002490.SZ,20260424
600986.SH,20260424
600726.SH,20260424
001339.SZ,20260427
002290.SZ,20260427
600633.SH,20260427
600418.SH,20260428
603501.SH,20260428
603486.SH,20260428
