代码,开仓日,D0开盘_买入价,触发规则,信号D,信号日开盘,信号日收盘,信号口径,成交D,卖出价_可成交,若信号日即成交,单笔收益率,单笔收益率pct
603122.SH,20251209,27.44,D2收盘转弱,2,27.0,26.35,close,2,26.35,是,-0.039723,-3.9723
603163.SH,20251203,58.8,D2收盘转弱,2,60.18,59.06,close,2,59.06,是,0.004422,0.4422
603256.SH,20260129,52.0,D2收盘转弱,2,53.02,52.3,close,2,52.3,是,0.005769,0.5769
603601.SH,20260226,13.1,D1收盘不强,1,12.75,13.1,close,1,13.1,是,0.0,0.0
603626.SH,20251231,20.47,D1收盘不强,1,20.23,19.96,close,1,19.96,是,-0.024915,-2.4915
603629.SH,20260326,63.31,D2收盘转弱,2,64.45,64.37,close,2,64.37,是,0.016743,1.6743
603630.SH,20260206,21.34,D1收盘不强,1,20.69,20.85,close,1,20.85,是,-0.022962,-2.2962
603667.SH,20251209,53.9,D1收盘不强,1,53.03,53.46,close,1,53.46,是,-0.008163,-0.8163
603757.SH,20260312,48.2,D2收盘转弱,2,49.62,48.29,close,2,48.29,是,0.001867,0.1867
603881.SH,20260209,41.16,D3到期收盘,3,43.99,43.53,close,3,43.53,是,0.05758,5.758
605060.SH,20260417,60.0,D2收盘转弱,2,61.33,60.4,close,2,60.4,是,0.006667,0.6667
605090.SH,20251225,41.9,D1收盘不强,1,40.75,41.76,close,1,41.76,是,-0.003341,-0.3341
605289.SH,20260402,105.9,D1收盘不强,1,106.38,102.69,close,1,102.69,是,-0.030312,-3.0312
605399.SH,20251128,16.0,D1收盘不强,1,16.45,16.05,close,1,16.05,是,0.003125,0.3125
605589.SH,20260407,34.6,D3到期收盘,3,36.75,36.51,close,3,36.51,是,0.055202,5.5202
688205.SH,20251210,160.99,D1开盘止盈,1,172.48,163.66,open,1,172.48,是,0.071371,7.1371
